"Mark as Sponsored on Creation?";"Mark as Sponsored on Creation?"
"Yes, mark article as Sponsored when created.";"Yes, mark article as Sponsored when created."
"No, do not mark article as Sponsored when created.";"No, do not mark article as Sponsored when created."

"Allow Viewing of Articles?";"Allow Viewing of Articles?"
"Allow Editing of Articles?";"Allow Editing of Articles?"
"Allow Deletion of Articles?";"Allow Deletion of Articles?"
"Allow Creation of Articles?";"Allow Creation of Articles?"
"Articles Article Privacy";"Articles Article Privacy"
"Article Comment Options";"Article Comment Options"
"Maximum Allowed Articles";"Maximum Allowed Articles"
"HTML in Articles?";"HTML in Articles?"
"ARTICLE_FORM_ADMIN_LEVEL_HTML_DESCRIPTION";"If you want to allow specific HTML tags, you can enter them below (separated by commas). Example: b, img, a, embed, font"

"These settings affect all members in your community.";"These settings affect all members in your community."

"Public Permissions";"Public Permissions"
"ARTICLE_FORM_ADMIN_GLOBAL_ARTICLEPUBLIC_DESCRIPTION";"Select whether or not you want to let the public (visitors that are not logged-in) to view the following sections of your social network. In some cases (such as Profiles, Blogs, and Albums), if you have given them the option, your users will be able to make their pages private even though you have made them publically viewable here. For more permissions settings, please visit the General Settings page."
"Yes, the public can view articles unless they are made private.";"Yes, the public can view articles unless they are made private."
"No, the public cannot view articles.";"No, the public cannot view articles."


"Articles Per Page";"Articles Per Page"
"How many articles will be shown per page? (Enter a number between 1 and 999)";"How many articles will be shown per page? (Enter a number between 1 and 999)"
"No identifier specified";"No identifier specified"
"Your changes were saved. Click <a href='%1$s'>here</a> to view your article.";"Your changes were saved. Click <a href='%1$s'>here</a> to view your article."
"Delete Article Category?";"Delete Article Category?"

"Popular Tags";"Popular Tags"

"{item:$subject} posted a new article:";"{item:$subject} posted a new article:"
"{item:$subject} commented on {item:$owner}'s {item:$object:article}: {body:$body}";"{item:$subject} commented on {item:$owner}'s {item:$object:article}: {body:$body}"
"{item:$subject} has commented on your {item:$object:article}.";"{item:$subject} has commented on your {item:$object:article}."
"{item:$subject} likes your {item:$object:article}.";"{item:$subject} likes your {item:$object:article}."
"{item:$subject} has commented on a {item:$object:article} you commented on.";"{item:$subject} has commented on a {item:$object:article} you commented on."
"{item:$subject} has commented on a {item:$object:article} you liked.";"{item:$subject} has commented on a {item:$object:article} you liked."

"People can search for this article";"People can search for this article"
"This article is in Draft mode. Administrator will review and manually publish it.";"This article is in Draft mode. Administrator will review and manually publish it."
"Status: Draft";"Status: Draft"
"Administrator will manually review and publish this article.";"Administrator will manually review and publish this article."
"Administrator will review and manually publish article once it is approved.";"Administrator will review and manually publish article once it is approved."
